;Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Coastal Locations;Median Age
0;Rio Tinto - Medancelhe, Gondomar;220.000;4.0;2.0;126.0;161.0;1.0;0.0;Not available;True;False;True;False;False;47.1
1;Arroios, Lisboa;365.000;2.0;1.0;67.0;67.0;0.0;;Not available;True;True;True;True;False;44.8
2;Fafe, Braga;220.000;4.0;3.0;180.0;164.0;0.0;;Not available;True;False;False;True;False;44.4
3;Bonfim, Porto;230.000;3.0;2.0;87.0;87.0;0.0;;Not available;True;False;True;True;True;47.0
4;Benfica, Lisboa;460.000;3.0;2.0;81.0;104.0;1.0;9.0;Energy Performance Certificate;False;True;True;True;False;44.8
5;Misericórdia, Lisboa;315.000;0.0;1.0;34.0;43.0;0.0;;Not available;True;True;True;True;False;44.8
6;Gouveia, Guarda;67.500;3.0;2.0;88.0;99.0;0.0;;Not available;True;False;False;False;False;58.1
7;Alvalade, Lisboa;780.000;5.0;3.0;145.0;161.0;0.0;;Not available;True;True;True;True;False;44.8
8;São Félix da Marinha I, Vila Nova de Gaia;198.000;2.0;2.0;102.0;102.0;2.0;1.0;Energy Performance Certificate;False;False;True;True;False;46.8
9;Consolação, Peniche;249.500;2.0;1.0;75.0;120.0;1.0;0.0;Not available;True;False;False;False;True;47.9
10;Aviz, Porto;830.000;4.0;2.0;134.0;200.0;2.0;8.0;Energy Performance Certificate;False;False;True;True;True;47.0
11;Aires, Palmela;100.000;2.0;1.0;54.0;61.0;0.0;;Not available;True;False;False;False;False;45.3
12;Santo António, Lisboa;680.000;3.0;2.0;122.0;156.0;0.0;;Not available;True;True;True;True;False;44.8
13;Povoa de Santa Iria  e Forte da Casa, Vila Franca , Vila Franca de Xira;225.000;2.0;1.0;77.0;77.0;0.0;;Not available;True;False;False;False;False;44.1
14;Monserrate, Viana do Castelo;225.000;2.0;2.0;55.0;55.0;0.0;;Not available;True;False;False;False;True;48.8
15;Águas Santas, Porto;235.000;2.0;2.0;91.0;116.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;True;47.0
17;Bustos, Oliveira do Bairro;140.000;3.0;2.0;89.0;105.0;0.0;;Not available;True;False;False;False;False;46.1
18;Fenais da Luz, Ilha de São Miguel;255.000;2.0;2.0;93.0;106.0;2.0;;Not available;True;False;False;False;False;
19;São Martinho do Bispo e Ribeira de Frades, Coimbra;175.000;2.0;1.0;66.0;70.0;0.0;;Not available;True;False;False;True;False;48.3
20;Pechão, Faro;280.000;2.0;2.0;90.0;107.0;1.0;2.0;Not available;True;False;False;False;True;45.7
21;Paredes, Porto;195.000;3.0;2.0;112.0;139.0;1.0;2.0;Not available;True;False;True;True;True;44.3
