Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Median Age;Distance To Ocean;Metropolitan Areas;Large cities;Coastal Locations
Rio Tinto - Medancelhe, Gondomar;220.000;4.0;2.0;126.0;161.0;1.0;0.0;Not available;True;False;47,1;9.797979619172002;True;False;False
Arroios, Lisboa;365.000;2.0;1.0;67.0;67.0;;;Not available;True;True;44,8;12.344550088464594;True;True;False
Fafe, Braga;220.000;4.0;3.0;180.0;164.0;;;Not available;True;False;44,4;50.90631598170868;False;True;False
Bonfim, Porto;230.000;3.0;2.0;87.0;87.0;;;Not available;True;False;47;6.7467861436355925;True;True;True
Benfica, Lisboa;460.000;3.0;2.0;81.0;104.0;1.0;9.0;Energy Performance Certificate;False;True;44,8;9.792851966067698;True;True;False
Misericórdia, Lisboa;315.000;0.0;1.0;34.0;43.0;;;Not available;True;True;44,8;;True;True;False
Gouveia, Guarda;67.500;3.0;2.0;88.0;99.0;;;Not available;True;False;58,1;105.1742228656594;False;False;False
Alvalade, Lisboa;780.000;5.0;3.0;145.0;161.0;;;Not available;True;True;44,8;14.072208194283228;True;True;False
São Félix da Marinha I, Vila Nova de Gaia;198.000;2.0;2.0;102.0;102.0;2.0;1.0;Energy Performance Certificate;False;False;46,8;;True;True;False
Consolação, Peniche;249.500;2.0;1.0;75.0;120.0;1.0;0.0;Not available;True;False;47,9;;False;False;True
Aviz, Porto;830.000;4.0;2.0;134.0;200.0;2.0;8.0;Energy Performance Certificate;False;False;47;3.872775852424896;True;True;True
Aires, Palmela;100.000;2.0;1.0;54.0;61.0;;;Not available;True;False;45,3;31.3715106470981;False;False;False
Santo António, Lisboa;680.000;3.0;2.0;122.0;156.0;;;Not available;True;True;44,8;;True;True;False
Povoa de Santa Iria  e Forte da Casa, Vila Franca , Vila Franca de Xira;225.000;2.0;1.0;77.0;77.0;;;Not available;True;False;44,1;26.96692469025053;False;False;False
Monserrate, Viana do Castelo;225.000;2.0;2.0;55.0;55.0;;;Not available;True;False;48,8;0.0;False;False;True
Águas Santas, Porto;235.000;2.0;2.0;91.0;116.0;1.0;2.0;Energy Performance Certificate;False;False;47;;True;True;True
Canidelo, Porto;430.000;;;;;;5.0;Not available;False;False;47;3.964557675534072;True;True;True
Bustos, Oliveira do Bairro;140.000;3.0;2.0;89.0;105.0;;;Not available;True;False;46,1;43.59252289246416;False;False;False
Fenais da Luz, Ilha de São Miguel;255.000;2.0;2.0;93.0;106.0;2.0;;Not available;True;False;;;False;False;False
São Martinho do Bispo e Ribeira de Frades, Coimbra;175.000;2.0;1.0;66.0;70.0;;;Not available;True;False;48,3;;False;True;False
Pechão, Faro;280.000;2.0;2.0;90.0;107.0;1.0;2.0;Not available;True;False;45,7;;False;False;True
Paredes, Porto;195.000;3.0;2.0;112.0;139.0;1.0;2.0;Not available;True;False;44,3;21.939571653289125;True;True;True
Nogueira, Fraião e Lamaçães, Braga;Under Consultation;4.0;3.0;178.0;178.0;2.0;1.0;Energy Performance Certificate;False;False;44,4;;False;True;False
Póvoa de Lanhoso (Nossa Senhora do Amparo), Braga;180.000;3.0;2.0;74.0;198.0;1.0;2.0;Not available;True;False;44,4;;False;True;False
Fânzeres e São Pedro da Cova, Porto;220.000;2.0;2.0;;;;;Not available;True;False;47;;True;True;True
Fânzeres e São Pedro da Cova, Porto;220.000;2.0;2.0;;;;;Not available;True;False;47;;True;True;True
Casal de Ouressa, Sintra;170.000;2.0;1.0;72.0;79.0;;;Not available;True;False;43,7;10.093434036940144;False;False;False
Areeiro, Lisboa;400.000;2.0;1.0;86.0;96.0;;;Not available;True;True;44,8;14.051324664085923;True;True;False
Cova da Piedade, Almada;300.000;2.0;1.0;69.0;81.0;0.0;4.0;Energy Performance Certificate;False;False;46,3;7.020425110686671;True;False;False
Areeiro, Lisboa;580.000;2.0;1.0;90.0;100.0;6.0;1.0;Not available;True;True;44,8;14.051324664085923;True;True;False
Vialonga, Lisboa;125.000;3.0;1.0;73.0;73.0;;;Not available;True;True;44,8;26.867872407278217;True;True;False
Massamá e Monte Abraão, Lisboa;525.000;5.0;3.0;212.0;310.0;2.0;;Not available;True;True;44,8;;True;True;False
Alfena, Porto;185.000;2.0;2.0;95.0;95.0;1.0;0.0;Not available;True;False;47;15.963105022833892;True;True;True
Águas Santas, Porto;210.000;2.0;1.0;97.0;105.0;1.0;2.0;Energy Performance Certificate;False;False;47;;True;True;True
Amora, Setúbal;178.000;2.0;1.0;68.0;69.0;;;Not available;True;False;46,6;;True;True;False
Matosinhos e Leça da Palmeira, Porto;210.000;0.0;1.0;38.0;93.0;1.0;3.0;Energy Performance Certificate;False;False;47,5;;True;True;True
São Domingos, Santarém;300.000;3.0;3.0;241.0;241.0;2.0;;Not available;True;False;48,3;;False;False;False
Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;199.000;3.0;;;;;;Not available;True;False;44,9;;True;True;False
Matosinhos e Leça da Palmeira, Porto;198.000;1.0;1.0;47.0;47.0;;;Not available;True;False;47,5;;True;True;True
Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;160.000;0.0;1.0;;;;;Not available;True;False;47;;True;True;True
Oliveira do Douro, Porto;289.000;3.0;2.0;113.0;148.0;;;Not available;True;False;47;7.42056882378263;True;True;True
Montijo e Afonsoeiro, Setúbal;200.000;3.0;1.0;76.0;92.0;;;Not available;True;False;42,6;;True;True;False
Mina de Água, Lisboa;175.000;1.0;1.0;47.0;54.0;;;Not available;True;True;44,8;;True;True;False
Caldas da Rainha, Caldas da Rainha;430.000;3.0;2.0;115.0;176.0;2.0;2.0;Energy Performance Certificate;False;False;48,4;21.206071339646165;False;False;False
Algés, Oeiras;Under Consultation;4.0;4.0;142.0;182.0;2.0;8.0;Not available;True;False;46,5;;False;False;False
S.Cosme, Gondomar;172.000;2.0;2.0;93.0;103.0;1.0;4.0;Energy Performance Certificate;False;False;47,1;12.260657705282714;True;False;False
Baguim do Monte - Igreja, Gondomar;175.000;2.0;1.0;77.0;96.0;1.0;3.0;Energy Performance Certificate;False;False;47,1;12.02824006740557;True;False;False
Torre da Marinha, Seixal;165.000;2.0;1.0;81.0;102.0;;;Not available;True;False;44,9;11.683840374474547;False;False;False
Damaia de Cima, Amadora;200.000;2.0;2.0;65.0;75.0;;;Not available;True;False;44,1;8.04128418433145;True;True;False
Matosinhos Sul, Matosinhos;295.000;1.0;1.0;46.0;;;;Not available;True;False;47,5;3.363446065416691;True;False;False
Gueifães, Maia, Maia;257.000;2.0;2.0;107.0;;;;Not available;True;False;45,5;10340.702276486052;False;False;False
Arnoso (Santa Maria e Santa Eulália) e Sezures, Braga;145.000;2.0;2.0;96.0;96.0;2.0;1.0;Not available;True;False;44,4;;False;True;False
Santo Tirso, Santo Tirso;495.000;4.0;4.0;231.0;231.0;2.0;5.0;Not available;True;False;49,5;27.103255278413656;False;False;False
Estrela, Lisboa;599.000;1.0;2.0;134.0;134.0;;;Not available;True;True;44,8;8.671484111975005;True;True;False
PER2 - Carvalhos, Vila Nova de Gaia;155.000;1.0;1.0;40.0;60.0;1.0;1.0;Not available;True;False;46,8;8.709174370218886;True;True;False
Tavira (Santa Maria e Santiago), Faro;290.000;2.0;2.0;75.0;83.0;;;Not available;True;False;45,7;79.19533607152272;False;False;True
Parque das Nações, Lisboa;325.000;2.0;1.0;67.0;67.0;;;Not available;True;True;44,8;;True;True;False
Alfena, Porto;240.000;3.0;2.0;119.0;166.0;2.0;3.0;Energy Performance Certificate;False;False;47;15.963105022833892;True;True;True
Parque das Nações, Lisboa;320.000;2.0;1.0;67.0;67.0;;;Not available;True;True;44,8;;True;True;False
Meadela, Viana do Castelo;220.000;3.0;2.0;97.0;97.0;1.0;2.0;Energy Performance Certificate;False;False;48,8;2.977748395962253;False;False;True
Parque das Nações, Lisboa;295.000;1.0;1.0;60.0;67.0;;;Not available;True;True;44,8;;True;True;False
Amora, Setúbal;160.000;2.0;1.0;74.0;74.0;;;Not available;True;False;46,6;;True;True;False
Parque das Nações, Lisboa;315.000;2.0;;;;;;Not available;True;True;44,8;;True;True;False
Marrazes e Barosa, Leiria;230.000;3.0;2.0;102.0;114.0;1.0;4.0;Energy Performance Certificate;False;False;46,4;45.87135526249227;False;False;False
Parque das Nações, Lisboa;225.000;1.0;2.0;47.0;47.0;;;Not available;True;True;44,8;;True;True;False
Corroios, Setúbal;198.500;2.0;1.0;;;;;Not available;True;False;46,6;;True;True;False
Arroios, Lisboa;216.000;2.0;1.0;43.0;45.0;;;Not available;True;True;44,8;12.344550088464594;True;True;False
