;Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Median Age;Distance To Ocean;Metropolitan Areas;Large cities;Coastal Locations
0;Rio Tinto - Medancelhe, Gondomar;220000.0;4.0;2.0;126.0;161.0;1.0;0.0;Not available;True;False;47.1;9.797979619172002;True;False;False
1;Arroios, Lisboa;365000.0;2.0;1.0;67.0;67.0;0.0;;Not available;True;True;44.8;12.344550088464594;True;True;False
2;Fafe, Braga;220000.0;4.0;3.0;180.0;164.0;0.0;;Not available;True;False;44.4;50.90631598170868;False;True;False
3;Bonfim, Porto;230000.0;3.0;2.0;87.0;87.0;0.0;;Not available;True;False;47.0;6.7467861436355925;True;True;True
4;Benfica, Lisboa;460000.0;3.0;2.0;81.0;104.0;1.0;9.0;Energy Performance Certificate;False;True;44.8;9.792851966067698;True;True;False
5;Misericórdia, Lisboa;315000.0;0.0;1.0;34.0;43.0;0.0;;Not available;True;True;44.8;;True;True;False
6;Gouveia, Guarda;67500.0;3.0;2.0;88.0;99.0;0.0;;Not available;True;False;58.1;105.1742228656594;False;False;False
7;Alvalade, Lisboa;780000.0;5.0;3.0;145.0;161.0;0.0;;Not available;True;True;44.8;14.072208194283228;True;True;False
8;São Félix da Marinha I, Vila Nova de Gaia;198000.0;2.0;2.0;102.0;102.0;2.0;1.0;Energy Performance Certificate;False;False;46.8;;True;True;False
9;Consolação, Peniche;249500.0;2.0;1.0;75.0;120.0;1.0;0.0;Not available;True;False;47.9;;False;False;True
10;Aviz, Porto;830000.0;4.0;2.0;134.0;200.0;2.0;8.0;Energy Performance Certificate;False;False;47.0;3.872775852424896;True;True;True
11;Aires, Palmela;100000.0;2.0;1.0;54.0;61.0;0.0;;Not available;True;False;45.3;31.3715106470981;False;False;False
12;Santo António, Lisboa;680000.0;3.0;2.0;122.0;156.0;0.0;;Not available;True;True;44.8;;True;True;False
13;Povoa de Santa Iria  e Forte da Casa, Vila Franca , Vila Franca de Xira;225000.0;2.0;1.0;77.0;77.0;0.0;;Not available;True;False;44.1;26.96692469025053;False;False;False
14;Monserrate, Viana do Castelo;225000.0;2.0;2.0;55.0;55.0;0.0;;Not available;True;False;48.8;0.0;False;False;True
15;Águas Santas, Porto;235000.0;2.0;2.0;91.0;116.0;1.0;2.0;Energy Performance Certificate;False;False;47.0;;True;True;True
17;Bustos, Oliveira do Bairro;140000.0;3.0;2.0;89.0;105.0;0.0;;Not available;True;False;46.1;43.59252289246416;False;False;False
18;Fenais da Luz, Ilha de São Miguel;255000.0;2.0;2.0;93.0;106.0;2.0;;Not available;True;False;;;False;False;False
19;São Martinho do Bispo e Ribeira de Frades, Coimbra;175000.0;2.0;1.0;66.0;70.0;0.0;;Not available;True;False;48.3;;False;True;False
20;Pechão, Faro;280000.0;2.0;2.0;90.0;107.0;1.0;2.0;Not available;True;False;45.7;;False;False;True
21;Paredes, Porto;195000.0;3.0;2.0;112.0;139.0;1.0;2.0;Not available;True;False;44.3;21.939571653289125;True;True;True
23;Póvoa de Lanhoso (Nossa Senhora do Amparo), Braga;180000.0;3.0;2.0;74.0;198.0;1.0;2.0;Not available;True;False;44.4;;False;True;False
24;Fânzeres e São Pedro da Cova, Porto;220000.0;2.0;2.0;;;0.0;;Not available;True;False;47.0;;True;True;True
25;Fânzeres e São Pedro da Cova, Porto;220000.0;2.0;2.0;;;0.0;;Not available;True;False;47.0;;True;True;True
26;Casal de Ouressa, Sintra;170000.0;2.0;1.0;72.0;79.0;0.0;;Not available;True;False;43.7;10.093434036940144;False;False;False
27;Areeiro, Lisboa;400000.0;2.0;1.0;86.0;96.0;0.0;;Not available;True;True;44.8;14.051324664085923;True;True;False
28;Cova da Piedade, Almada;300000.0;2.0;1.0;69.0;81.0;0.0;4.0;Energy Performance Certificate;False;False;46.3;7.020425110686671;True;False;False
29;Areeiro, Lisboa;580000.0;2.0;1.0;90.0;100.0;6.0;1.0;Not available;True;True;44.8;14.051324664085923;True;True;False
30;Vialonga, Lisboa;125000.0;3.0;1.0;73.0;73.0;0.0;;Not available;True;True;44.8;26.867872407278217;True;True;False
31;Massamá e Monte Abraão, Lisboa;525000.0;5.0;3.0;212.0;310.0;2.0;;Not available;True;True;44.8;;True;True;False
32;Alfena, Porto;185000.0;2.0;2.0;95.0;95.0;1.0;0.0;Not available;True;False;47.0;15.963105022833892;True;True;True
33;Águas Santas, Porto;210000.0;2.0;1.0;97.0;105.0;1.0;2.0;Energy Performance Certificate;False;False;47.0;;True;True;True
34;Amora, Setúbal;178000.0;2.0;1.0;68.0;69.0;0.0;;Not available;True;False;46.6;;True;True;False
35;Matosinhos e Leça da Palmeira, Porto;210000.0;0.0;1.0;38.0;93.0;1.0;3.0;Energy Performance Certificate;False;False;47.5;;True;True;True
36;São Domingos, Santarém;300000.0;3.0;3.0;241.0;241.0;2.0;;Not available;True;False;48.3;;False;False;False
37;Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;199000.0;3.0;1.0;;;0.0;;Not available;True;False;44.9;;True;True;False
38;Matosinhos e Leça da Palmeira, Porto;198000.0;1.0;1.0;47.0;47.0;0.0;;Not available;True;False;47.5;;True;True;True
39;Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;160000.0;0.0;1.0;;;0.0;;Not available;True;False;47.0;;True;True;True
40;Oliveira do Douro, Porto;289000.0;3.0;2.0;113.0;148.0;0.0;;Not available;True;False;47.0;7.42056882378263;True;True;True
41;Montijo e Afonsoeiro, Setúbal;200000.0;3.0;1.0;76.0;92.0;0.0;;Not available;True;False;42.6;;True;True;False
42;Mina de Água, Lisboa;175000.0;1.0;1.0;47.0;54.0;0.0;;Not available;True;True;44.8;;True;True;False
43;Caldas da Rainha, Caldas da Rainha;430000.0;3.0;2.0;115.0;176.0;2.0;2.0;Energy Performance Certificate;False;False;48.4;21.206071339646165;False;False;False
45;S.Cosme, Gondomar;172000.0;2.0;2.0;93.0;103.0;1.0;4.0;Energy Performance Certificate;False;False;47.1;12.260657705282714;True;False;False
46;Baguim do Monte - Igreja, Gondomar;175000.0;2.0;1.0;77.0;96.0;1.0;3.0;Energy Performance Certificate;False;False;47.1;12.02824006740557;True;False;False
47;Torre da Marinha, Seixal;165000.0;2.0;1.0;81.0;102.0;0.0;;Not available;True;False;44.9;11.683840374474547;False;False;False
48;Damaia de Cima, Amadora;200000.0;2.0;2.0;65.0;75.0;0.0;;Not available;True;False;44.1;8.04128418433145;True;True;False
49;Matosinhos Sul, Matosinhos;295000.0;1.0;1.0;46.0;;0.0;;Not available;True;False;47.5;3.363446065416691;True;False;False
50;Gueifães, Maia, Maia;257000.0;2.0;2.0;107.0;;0.0;;Not available;True;False;45.5;10340.702276486052;False;False;False
51;Arnoso (Santa Maria e Santa Eulália) e Sezures, Braga;145000.0;2.0;2.0;96.0;96.0;2.0;1.0;Not available;True;False;44.4;;False;True;False
52;Santo Tirso, Santo Tirso;495000.0;4.0;4.0;231.0;231.0;2.0;5.0;Not available;True;False;49.5;27.103255278413656;False;False;False
53;Estrela, Lisboa;599000.0;1.0;2.0;134.0;134.0;0.0;;Not available;True;True;44.8;8.671484111975005;True;True;False
54;PER2 - Carvalhos, Vila Nova de Gaia;155000.0;1.0;1.0;40.0;60.0;1.0;1.0;Not available;True;False;46.8;8.709174370218886;True;True;False
55;Tavira (Santa Maria e Santiago), Faro;290000.0;2.0;2.0;75.0;83.0;0.0;;Not available;True;False;45.7;79.19533607152272;False;False;True
56;Parque das Nações, Lisboa;325000.0;2.0;1.0;67.0;67.0;0.0;;Not available;True;True;44.8;;True;True;False
57;Alfena, Porto;240000.0;3.0;2.0;119.0;166.0;2.0;3.0;Energy Performance Certificate;False;False;47.0;15.963105022833892;True;True;True
58;Parque das Nações, Lisboa;320000.0;2.0;1.0;67.0;67.0;0.0;;Not available;True;True;44.8;;True;True;False
59;Meadela, Viana do Castelo;220000.0;3.0;2.0;97.0;97.0;1.0;2.0;Energy Performance Certificate;False;False;48.8;2.977748395962253;False;False;True
60;Parque das Nações, Lisboa;295000.0;1.0;1.0;60.0;67.0;0.0;;Not available;True;True;44.8;;True;True;False
61;Amora, Setúbal;160000.0;2.0;1.0;74.0;74.0;0.0;;Not available;True;False;46.6;;True;True;False
62;Parque das Nações, Lisboa;315000.0;2.0;1.0;67.0;;0.0;;Not available;True;True;44.8;;True;True;False
63;Marrazes e Barosa, Leiria;230000.0;3.0;2.0;102.0;114.0;1.0;4.0;Energy Performance Certificate;False;False;46.4;45.87135526249227;False;False;False
64;Parque das Nações, Lisboa;225000.0;1.0;2.0;47.0;47.0;0.0;;Not available;True;True;44.8;;True;True;False
65;Corroios, Setúbal;198500.0;2.0;1.0;;;0.0;;Not available;True;False;46.6;;True;True;False
66;Arroios, Lisboa;216000.0;2.0;1.0;43.0;45.0;0.0;;Not available;True;True;44.8;12.344550088464594;True;True;False
67;Urb. Colinas do Cruzeiro, Odivelas;355000.0;2.0;2.0;100.0;100.0;2.0;3.0;Not available;False;False;43.7;13.329541033993166;False;False;False
68;Marco, Porto;252000.0;3.0;2.0;149.0;149.0;1.0;2.0;Not available;True;False;47.0;;True;True;True
69;Marco, Porto;189000.0;2.0;2.0;;;1.0;2.0;Not available;True;False;47.0;;True;True;True
70;Marco, Porto;189000.0;2.0;2.0;92.0;92.0;1.0;1.0;Not available;True;False;47.0;;True;True;True
71;Marco, Porto;179000.0;2.0;2.0;92.0;92.0;1.0;0.0;Not available;True;False;47.0;;True;True;True
72;Parque das Nações - Expo Sul, Lisboa;850000.0;3.0;3.0;182.0;182.0;2.0;3.0;Energy Performance Certificate;False;True;44.8;;True;True;False
73;Almancil, Faro;310000.0;3.0;2.0;121.0;157.0;2.0;3.0;Energy Performance Certificate;False;False;45.7;45.029324235011714;False;False;True
74;Moncarapacho e Fuseta, Faro;795000.0;2.0;2.0;104.0;122.0;2.0;0.0;Not available;True;False;45.7;66.48155661272949;False;False;True
75;Pinheiro da Bemposta, Oliveira de Azeméis;200000.0;3.0;2.0;108.0;130.0;1.0;0.0;Not available;True;False;48.5;;False;False;False
84;Bonfim, Porto;145000.0;1.0;1.0;33.0;33.0;0.0;;Not available;True;False;47.0;6.7467861436355925;True;True;True
85;Sátão, Sátão;47000.0;3.0;2.0;143.0;149.0;0.0;;Not available;True;False;52.1;;False;False;False
86;Avenidas Novas, Lisboa;305000.0;3.0;1.0;85.0;94.0;0.0;;Not available;True;True;44.8;13.13200174110294;True;True;False
87;Gaeiras, Óbidos;199000.0;3.0;2.0;101.0;144.0;2.0;2.0;Not available;True;False;48.9;;False;False;True
88;Caparica e Trafaria, Setúbal;203000.0;2.0;1.0;70.0;73.0;1.0;2.0;Energy Performance Certificate;False;False;46.6;;True;True;False
89;Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;318000.0;3.0;1.0;116.0;116.0;0.0;;Not available;True;True;44.8;;True;True;False
90;Funchal (Sé), Ilha da Madeira;680000.0;3.0;3.0;;;0.0;;Not available;True;False;48.0;;False;True;False
91;Olivais, Lisboa;269000.0;3.0;1.0;85.0;85.0;0.0;;Not available;True;True;44.8;16.354114399684835;True;True;False
92;Alverca do Ribatejo e Sobralinho, Lisboa;167500.0;2.0;1.0;66.0;78.0;0.0;;Not available;True;True;44.8;31.586921632511352;True;True;False
93;Arcos de Valdevez (Salvador), Vila Fonche e Parada, Viana do Castelo;220000.0;3.0;2.0;130.0;130.0;1.0;;Not available;True;False;55.4;37.760974591008114;False;False;True
94;Miraflores, Oeiras;575000.0;3.0;2.0;143.0;143.0;2.0;1.0;Energy Performance Certificate;False;False;51.2;5.266317011716827;False;False;False
95;Vale de Estacas, Santarém;230000.0;3.0;2.0;111.0;111.0;0.0;;Not available;True;False;48.3;;False;False;False
96;Santa Catarina, Porto;125000.0;1.0;2.0;62.0;88.0;0.0;;Not available;True;False;47.0;5.854324595561659;True;True;True
97;Alhos Vedros, Setúbal;188000.0;3.0;2.0;88.0;102.0;0.0;;Not available;True;False;46.6;;True;True;False
98;Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;420000.0;2.0;2.0;91.0;102.0;1.0;12.0;Energy Performance Certificate;False;True;44.8;;True;True;False
100;Parque das Nações - Expo Norte, Lisboa;575000.0;2.0;2.0;143.0;143.0;2.0;7.0;Not available;True;True;44.8;;True;True;False
101;Meadela, Viana do Castelo;270000.0;3.0;2.0;134.0;134.0;1.0;1.0;Energy Performance Certificate;False;False;48.8;2.977748395962253;False;False;True
102;Carcavelos e Parede, Lisboa;225000.0;2.0;1.0;80.0;142.0;0.0;;Not available;True;True;44.8;4.479612964151894;True;True;False
103;Massamá e Monte Abraão, Lisboa;239900.0;3.0;2.0;86.0;102.0;0.0;;Not available;True;True;44.8;;True;True;False
106;Carcavelos e Parede, Lisboa;820000.0;3.0;3.0;117.0;130.0;1.0;5.0;Energy Performance Certificate;False;True;44.8;4.479612964151894;True;True;False
107;Carcavelos e Parede, Lisboa;810000.0;3.0;3.0;117.0;130.0;1.0;5.0;Energy Performance Certificate;False;True;44.8;4.479612964151894;True;True;False
108;Carcavelos e Parede, Lisboa;800000.0;3.0;3.0;117.0;130.0;1.0;4.0;Energy Performance Certificate;False;True;44.8;4.479612964151894;True;True;False
109;Carcavelos e Parede, Lisboa;790000.0;3.0;3.0;117.0;130.0;1.0;4.0;Energy Performance Certificate;False;True;44.8;4.479612964151894;True;True;False
110;Carcavelos e Parede, Lisboa;790000.0;3.0;3.0;117.0;130.0;1.0;3.0;Energy Performance Certificate;False;True;44.8;4.479612964151894;True;True;False
111;Carcavelos e Parede, Lisboa;780000.0;3.0;3.0;117.0;130.0;1.0;3.0;Energy Performance Certificate;False;True;44.8;4.479612964151894;True;True;False
112;Carcavelos e Parede, Lisboa;780000.0;3.0;3.0;117.0;130.0;1.0;2.0;Energy Performance Certificate;False;True;44.8;4.479612964151894;True;True;False
113;Carcavelos e Parede, Lisboa;770000.0;3.0;3.0;117.0;130.0;1.0;2.0;Energy Performance Certificate;False;True;44.8;4.479612964151894;True;True;False
114;Carcavelos e Parede, Lisboa;770000.0;3.0;3.0;117.0;130.0;1.0;1.0;Energy Performance Certificate;False;True;44.8;4.479612964151894;True;True;False
