Location;Price;Rooms;WCs;Net Floor Area (m2);Gross Private Area (m2);Parking;Floor;Energy Performance Certificate;Elevator_Not available;Capital;Metropolitan Areas;Large cities;Coastal Locations;Median Age;Distance To Ocean
Rio Tinto - Medancelhe, Gondomar;220000;4.0;2.0;126.0;161.0;1.0;0.0;Not available;True;False;True;False;False;47.1;9
Arroios, Lisboa;365000;2.0;1.0;67.0;67.0;0.0;;Not available;True;True;True;True;False;44.8;12
Fafe, Braga;220000;4.0;3.0;180.0;164.0;0.0;;Not available;True;False;False;True;False;44.4;50
Bonfim, Porto;230000;3.0;2.0;87.0;87.0;0.0;;Not available;True;False;True;True;True;47.0;6
Benfica, Lisboa;460000;3.0;2.0;81.0;104.0;1.0;9.0;Energy Performance Certificate;False;True;True;True;False;44.8;9
Misericórdia, Lisboa;315000;0.0;1.0;34.0;43.0;0.0;;Not available;True;True;True;True;False;44.8;9
Gouveia, Guarda;67500;3.0;2.0;88.0;99.0;0.0;;Not available;True;False;False;False;False;58.1;105
Alvalade, Lisboa;780000;5.0;3.0;145.0;161.0;0.0;;Not available;True;True;True;True;False;44.8;14
São Félix da Marinha I, Vila Nova de Gaia;198000;2.0;2.0;102.0;102.0;2.0;1.0;Energy Performance Certificate;False;False;True;True;False;46.8;2
Consolação, Peniche;249500;2.0;1.0;75.0;120.0;1.0;0.0;Not available;True;False;False;False;True;47.9;0
Aviz, Porto;830000;4.0;2.0;134.0;200.0;2.0;8.0;Energy Performance Certificate;False;False;True;True;True;47.0;3
Aires, Palmela;100000;2.0;1.0;54.0;61.0;0.0;;Not available;True;False;False;False;False;45.3;31
Santo António, Lisboa;680000;3.0;2.0;122.0;156.0;0.0;;Not available;True;True;True;True;False;44.8;11
Povoa de Santa Iria  e Forte da Casa, Vila Franca , Vila Franca de Xira;225000;2.0;1.0;77.0;77.0;0.0;;Not available;True;False;False;False;False;44.1;26
Monserrate, Viana do Castelo;225000;2.0;2.0;55.0;55.0;0.0;;Not available;True;False;False;False;True;48.8;0
Águas Santas, Porto;235000;2.0;2.0;91.0;116.0;1.0;2.0;Energy Performance Certificate;False;False;True;True;True;47.0;10
Bustos, Oliveira do Bairro;140000;3.0;2.0;89.0;105.0;0.0;;Not available;True;False;False;False;False;46.1;43
