Location;Distance to Nearest Coastal Point (km)
Rio Tinto - Medancelhe, Gondomar;9
Arroios, Lisboa;12
Fafe, Braga;50
Bonfim, Porto;6
Benfica, Lisboa;9
Misericórdia, Lisboa;9
Gouveia, Guarda;105
Alvalade, Lisboa;14
São Félix da Marinha I, Vila Nova de Gaia;2
Consolação, Peniche;0
Aviz, Porto;3
Aires, Palmela;31
Santo António, Lisboa;11
Povoa de Santa Iria  e Forte da Casa, Vila Franca , Vila Franca de Xira;26
Monserrate, Viana do Castelo;0
Águas Santas, Porto;10
Canidelo, Porto;3
Bustos, Oliveira do Bairro;43
Fenais da Luz, Ilha de São Miguel;1414
São Martinho do Bispo e Ribeira de Frades, Coimbra;36
Pechão, Faro;59
Paredes, Porto;21
Nogueira, Fraião e Lamaçães, Braga;31
Póvoa de Lanhoso (Nossa Senhora do Amparo), Braga;43
Fânzeres e São Pedro da Cova, Porto;13
Fânzeres e São Pedro da Cova, Porto;13
Casal de Ouressa, Sintra;10
Areeiro, Lisboa;14
Cova da Piedade, Almada;7
Areeiro, Lisboa;14
Vialonga, Lisboa;26
Massamá e Monte Abraão, Lisboa;6
Alfena, Porto;15
Águas Santas, Porto;10
Amora, Setúbal;9
Matosinhos e Leça da Palmeira, Porto;4
São Domingos, Santarém;57
Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;11
Matosinhos e Leça da Palmeira, Porto;4
Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;5
Oliveira do Douro, Porto;7
Montijo e Afonsoeiro, Setúbal;25
Mina de Água, Lisboa;10
Caldas da Rainha, Caldas da Rainha;21
Algés, Oeiras;5
S.Cosme, Gondomar;12
Baguim do Monte - Igreja, Gondomar;12
Torre da Marinha, Seixal;11
Damaia de Cima, Amadora;8
Matosinhos Sul, Matosinhos;3
Gueifães, Maia, Maia;9
Arnoso (Santa Maria e Santa Eulália) e Sezures, Braga;29
Santo Tirso, Santo Tirso;27
Estrela, Lisboa;8
PER2 - Carvalhos, Vila Nova de Gaia;8
Tavira (Santa Maria e Santiago), Faro;79
Parque das Nações, Lisboa;18
Alfena, Porto;15
Parque das Nações, Lisboa;18
Meadela, Viana do Castelo;2
Parque das Nações, Lisboa;18
Amora, Setúbal;9
Parque das Nações, Lisboa;18
Marrazes e Barosa, Leiria;45
Parque das Nações, Lisboa;18
Corroios, Setúbal;7
Arroios, Lisboa;12
Urb. Colinas do Cruzeiro, Odivelas;13
Marco, Porto;60
Marco, Porto;60
Marco, Porto;60
Marco, Porto;60
Parque das Nações - Expo Sul, Lisboa;17
Almancil, Faro;45
Moncarapacho e Fuseta, Faro;66
Pinheiro da Bemposta, Oliveira de Azeméis;27
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;71
Lamego (Almacave e Sé), Viseu;71
Bonfim, Porto;6
Sátão, Sátão;81
Avenidas Novas, Lisboa;13
Gaeiras, Óbidos;20
Caparica e Trafaria, Setúbal;2
Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;22
Funchal (Sé), Ilha da Madeira;907
Olivais, Lisboa;16
Alverca do Ribatejo e Sobralinho, Lisboa;31
Arcos de Valdevez (Salvador), Vila Fonche e Parada, Viana do Castelo;37
Miraflores, Oeiras;5
Vale de Estacas, Santarém;58
Santa Catarina, Porto;5
Alhos Vedros, Setúbal;19
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;3
