Location;Distance to Nearest Coastal Point (km)
Rio Tinto - Medancelhe, Gondomar;9.797979619172002
Arroios, Lisboa;12.344550088464594
Fafe, Braga;50.90631598170868
Bonfim, Porto;6.7467861436355925
Benfica, Lisboa;9.792851966067698
Misericórdia, Lisboa;9.963500731008953
Gouveia, Guarda;105.17422286565939
Alvalade, Lisboa;14.072208194283228
São Félix da Marinha I, Vila Nova de Gaia;2.9111611145915415
Consolação, Peniche;0.0
Aviz, Porto;3.8727758524248954
Aires, Palmela;31.3715106470981
Santo António, Lisboa;11.450279740558718
Povoa de Santa Iria  e Forte da Casa, Vila Franca , Vila Franca de Xira;26.966924690250526
Monserrate, Viana do Castelo;0.0
Águas Santas, Porto;10.51960564694329
Canidelo, Porto;3.9645576755340723
Bustos, Oliveira do Bairro;43.59252289246416
Fenais da Luz, Ilha de São Miguel;1414.2232851256479
São Martinho do Bispo e Ribeira de Frades, Coimbra;36.42442906101372
Pechão, Faro;59.28516938685659
Paredes, Porto;21.939571653289125
Nogueira, Fraião e Lamaçães, Braga;31.3889782579993
Póvoa de Lanhoso (Nossa Senhora do Amparo), Braga;43.06501311987661
Fânzeres e São Pedro da Cova, Porto;13.685372396143663
Fânzeres e São Pedro da Cova, Porto;13.685372396143663
Casal de Ouressa, Sintra;10.093434036940145
Areeiro, Lisboa;14.051324664085923
Cova da Piedade, Almada;7.020425110686671
Areeiro, Lisboa;14.051324664085923
Vialonga, Lisboa;26.867872407278217
Massamá e Monte Abraão, Lisboa;6.814228357752641
Alfena, Porto;15.963105022833892
Águas Santas, Porto;10.51960564694329
Amora, Setúbal;9.70314923358545
Matosinhos e Leça da Palmeira, Porto;4.05647559371589
São Domingos, Santarém;57.01476605829194
Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;11.42684609744841
Matosinhos e Leça da Palmeira, Porto;4.05647559371589
Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;5.370718400555397
Oliveira do Douro, Porto;7.42056882378263
Montijo e Afonsoeiro, Setúbal;25.073427815554755
Mina de Água, Lisboa;10.262866036193694
Caldas da Rainha, Caldas da Rainha;21.206071339646165
Algés, Oeiras;5.41296063204881
S.Cosme, Gondomar;12.260657705282714
Baguim do Monte - Igreja, Gondomar;12.02824006740557
Torre da Marinha, Seixal;11.683840374474547
Damaia de Cima, Amadora;8.04128418433145
Matosinhos Sul, Matosinhos;3.363446065416691
Gueifães, Maia, Maia;9.821890153377883
Arnoso (Santa Maria e Santa Eulália) e Sezures, Braga;29.52355037845546
Santo Tirso, Santo Tirso;27.103255278413656
Estrela, Lisboa;8.671484111975005
PER2 - Carvalhos, Vila Nova de Gaia;8.709174370218886
Tavira (Santa Maria e Santiago), Faro;79.19533607152272
Parque das Nações, Lisboa;18.234753100434265
Alfena, Porto;15.963105022833892
Parque das Nações, Lisboa;18.234753100434265
Meadela, Viana do Castelo;2.977748395962253
Parque das Nações, Lisboa;18.234753100434265
Amora, Setúbal;9.70314923358545
Parque das Nações, Lisboa;18.234753100434265
Marrazes e Barosa, Leiria;45.87135526249227
Parque das Nações, Lisboa;18.234753100434265
Corroios, Setúbal;7.238655208844806
Arroios, Lisboa;12.344550088464594
Urb. Colinas do Cruzeiro, Odivelas;13.329541033993166
Parque das Nações - Expo Sul, Lisboa;17.46542333689563
Almancil, Faro;45.029324235011714
Moncarapacho e Fuseta, Faro;66.48155661272949
Pinheiro da Bemposta, Oliveira de Azeméis;27.83392491651489
Lamego (Almacave e Sé), Viseu;71.18471723000803
Lamego (Almacave e Sé), Viseu;71.18471723000803
Lamego (Almacave e Sé), Viseu;71.18471723000803
Lamego (Almacave e Sé), Viseu;71.18471723000803
Lamego (Almacave e Sé), Viseu;71.18471723000803
Lamego (Almacave e Sé), Viseu;71.18471723000803
Lamego (Almacave e Sé), Viseu;71.18471723000803
Lamego (Almacave e Sé), Viseu;71.18471723000803
Bonfim, Porto;6.7467861436355925
Sátão, Sátão;81.89762570920419
Avenidas Novas, Lisboa;13.13200174110294
Gaeiras, Óbidos;20.576744002346857
Caparica e Trafaria, Setúbal;2.2262095746710227
Santa Iria de Azoia, São João da Talha e Bobadela, Lisboa;22.2215410918103
Funchal (Sé), Ilha da Madeira;907.4147701582756
Olivais, Lisboa;16.354114399684835
Alverca do Ribatejo e Sobralinho, Lisboa;31.586921632511352
Arcos de Valdevez (Salvador), Vila Fonche e Parada, Viana do Castelo;37.760974591008114
Miraflores, Oeiras;5.266317011716827
Vale de Estacas, Santarém;58.180982641265174
Santa Catarina, Porto;5.854324595561659
Alhos Vedros, Setúbal;19.76101223033143
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;3.6360853007030998
Odivelas, Lisboa;14.328217649455674
Parque das Nações - Expo Norte, Lisboa;19.170009748459062
Meadela, Viana do Castelo;2.977748395962253
Carcavelos e Parede, Lisboa;4.479612964151894
Massamá e Monte Abraão, Lisboa;6.814228357752641
Carcavelos e Parede, Lisboa;4.479612964151894
Carcavelos e Parede, Lisboa;4.479612964151894
Carcavelos e Parede, Lisboa;4.479612964151894
Carcavelos e Parede, Lisboa;4.479612964151894
Carcavelos e Parede, Lisboa;4.479612964151894
Carcavelos e Parede, Lisboa;4.479612964151894
Carcavelos e Parede, Lisboa;4.479612964151894
Carcavelos e Parede, Lisboa;4.479612964151894
Carcavelos e Parede, Lisboa;4.479612964151894
Carcavelos e Parede, Lisboa;4.479612964151894
Carcavelos e Parede, Lisboa;4.479612964151894
Carcavelos e Parede, Lisboa;4.479612964151894
Carcavelos e Parede, Lisboa;4.479612964151894
Carcavelos e Parede, Lisboa;4.479612964151894
Feira Nova, Amares;37.558310061098375
Praia da Rocha, Portimão;0.3492952858448541
Olivais Sul, Lisboa;16.764544907684343
São Félix da Marinha, Vila Nova de Gaia;2.9111611145915415
Monte Gordo, Vila Real de Santo António;96.58586629883453
Serralves, Porto;1.600637756201105
Valongo, Porto;15.317228097109272
Monte Gordo, Vila Real de Santo António;96.58586629883453
Sto. Ant. Charneca / Cidade Sol, Barreiro;17.334350389411913
Montijo e Afonsoeiro, Setúbal;25.073427815554755
Montijo e Afonsoeiro, Setúbal;25.073427815554755
Nacional 1, Santa Maria da Feira;12.005532386379127
Montijo e Afonsoeiro, Setúbal;25.073427815554755
Montijo e Afonsoeiro, Setúbal;25.073427815554755
Damaia de Cima, Amadora;8.04128418433145
Marinha Grande, Leiria;46.656885438043844
Montijo e Afonsoeiro, Setúbal;25.073427815554755
Venteira, Lisboa;8.043986468943439
Vila do Conde, Porto;18.041941849848865
Praia da Rocha, Portimão;0.3492952858448541
Montijo e Afonsoeiro, Setúbal;25.073427815554755
Campo de Ourique, Lisboa;10.281507683662495
Amial, Porto;6.241425648256122
Tortosendo, Castelo Branco;116.42054206086694
Bairro dos Actores, Lisboa;11.879567368245146
Feijó, Almada;6.171094176859449
Vilar de Andorinho, Vila Nova de Gaia;6.1107414726810445
Conde I, Sesimbra;25.06232106442331
Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães, Viana do Castelo;39.71644841339199
Cascais e Estoril, Lisboa;0.0
Paçô, Viana do Castelo;7.10437199365479
Lagoa e Carvoeiro, Faro;9.478291520192403
Pedra Mourinha, Portimão;3.236695140898152
Santa Maria Maior, Vila Real;111.03437456662985
Peniche, Peniche;4.690487960994953
Monte Gordo, Vila Real de Santo António;96.58586629883453
Venteira, Amadora;8.931660920362937
Venteira, Amadora;8.931660920362937
Venteira, Amadora;8.931660920362937
Loures, Loures;18.34297673814834
Buarcos e São Julião, Coimbra;0.0
Venteira, Amadora;8.931660920362937
Matosinhos Sul, Matosinhos;3.363446065416691
Campo de Ourique, Lisboa;10.281507683662495
Santa Maria Maior, Lisboa;11.287008909067405
Ajuda, Lisboa;8.01873198559227
Baguim do Monte - Igreja, Gondomar;12.02824006740557
Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail, Aveiro;23.432073363570613
Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal;7.8137183900958505
Fluvial, Porto;1.5893000574731893
Ramalha/Centro Sul, Almada;6.5442293262447695
Peniche, Peniche;4.690487960994953
CARRIÇO, Pombal;17.676726009181944
Canidelo, Porto;3.9645576755340723
Santo António dos Cavaleiros e Frielas, Lisboa;18.05531738385541
Gulpilhares e Valadares, Porto;7.203684078768482
S.Cosme, Gondomar;12.260657705282714
Consolação, Peniche;0.0
S.Cosme, Gondomar;12.260657705282714
Laranjeiro, Almada;6.907300997076936
Santa Marinha e São Pedro da Afurada, Porto;4.89119145704773
Braga (São Vítor), Braga;31.46872295046313
São Julião, Nossa Senhora da Anunciada e Santa Maria da Graça, Setúbal;29.983104734088194
A dos Cunhados e Maceira, Lisboa;20.37219495500167
Praia, Póvoa de Varzim;14.479060434043568
Amparo, Funchal;913.8914113556772
Canidelo, Porto;3.9645576755340723
Covilhã e Canhoso, Castelo Branco;118.61921242426745
São Carlos, Sintra;7.793002602969998
Vila Nova de Famalicão e Calendário, Braga;23.960951147650228
Quinta da Cavaleira, Sintra;9.930455771462956
Praça Rainha D. Amélia, Porto;6.470892871965154
Praça Rainha D. Amélia, Porto;6.470892871965154
Santos, Lisboa, Lisboa;9.610404018144948
Parada de Cunhos, Vila Real;77.73470105960968
Antas, Porto;7.2903817058845535
Conceição, Faro;55.25788829070139
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;3.6360853007030998
Vilar de Andorinho, Porto;9.040445271973667
Quarteira, Faro;38.86920377587499
Castanheira do Ribatejo e Cachoeiras, Lisboa;42.97979712748262
Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Lisboa;3.6360853007030998
