1;Massamá e Monte Abraão, Lisboa;185.000;Apartment;2;1;68;70;Not available;Not available;Not available;Not available
2;Rio Tinto - Medancelhe, Gondomar;220.000;Apartment;4;2;126;161;1;0;Not available;Not available
3;Arroios, Lisboa;365.000;Apartment;2;1;67;67;Not available;Not available;Not available;Not available
4;Fafe, Braga;220.000;Apartment;4;3;180;164;Not available;Not available;Not available;Not available
5;Bonfim, Porto;230.000;Apartment;3;2;87;87;Not available;Not available;Not available;Not available
6;Benfica, Lisboa;460.000;Apartment;3;2;81;104;1;9;Elevator;Energy Performance Certificate
7;Misericórdia, Lisboa;315.000;Apartment;0;1;34;43;Not available;Not available;Not available;Not available
8;Gouveia, Guarda;67.500;Apartment;3;2;88;99;Not available;Not available;Not available;Not available
9;Alvalade, Lisboa;780.000;Apartment;5;3;145;161;Not available;Not available;Not available;Not available
10;São Félix da Marinha I, Vila Nova de Gaia;198.000;Apartment;2;2;102;102;2;1;Elevator;Energy Performance Certificate
11;Consolação, Peniche;249.500;Apartment;2;1;75;120;1;0;Not available;Not available
12;Aviz, Porto;830.000;Apartment;4;2;134;200;2;8;Elevator;Energy Performance Certificate
13;Aires, Palmela;100.000;Apartment;2;1;54;61;Not available;Not available;Not available;Not available
14;Santo António, Lisboa;680.000;Apartment;3;2;122;156;Not available;Not available;Not available;Not available
15;Povoa de Santa Iria  e Forte da Casa, Vila Franca , Vila Franca de Xira;225.000;Apartment;2;1;77;77;Not available;Not available;Not available;Not available
16;Monserrate, Viana do Castelo;225.000;Apartment;2;2;55;55;Not available;Not available;Not available;Not available
17;Águas Santas, Porto;235.000;Apartment;2;2;91;116;1;2;Elevator;Energy Performance Certificate
18;Canidelo, Porto;430.000;Apartments;2-4;2-4;80-191;89-300;1-2;5;Elevator;Not available
19;Bustos, Oliveira do Bairro;140.000;Apartment;3;2;89;105;Not available;Not available;Not available;Not available
20;Fenais da Luz, Ilha de São Miguel;255.000;Apartment;2;2;93;106;2;Not available;Not available;Not available
21;São Martinho do Bispo e Ribeira de Frades, Coimbra;175.000;Apartment;2;1;66;70;Not available;Not available;Not available;Not available
22;Pechão, Faro;280.000;Apartment;2;2;90;107;1;2;Not available;Not available
23;Paredes, Porto;195.000;Apartment;3;2;112;139;1;2;Not available;Not available
24;Nogueira, Fraião e Lamaçães, Braga;Under Consultation;Apartment;4;3;178;178;2;1;Elevator;Energy Performance Certificate
25;Póvoa de Lanhoso (Nossa Senhora do Amparo), Braga;180.000;Duplex;3;2;74;198;1;2;Not available;Not available
26;Fânzeres e São Pedro da Cova, Porto;220.000;Apartment;2;2;Not available;Not available;Not available;Not available;Not available;Not available
27;Fânzeres e São Pedro da Cova, Porto;220.000;Apartment;2;2;Not available;Not available;Not available;Not available;Not available;Not available
28;Casal de Ouressa, Sintra;170.000;Apartment;2;1;72;79;Not available;Not available;Not available;Not available
29;Areeiro, Lisboa;400.000;Apartment;2;1;86;96;Not available;Not available;Not available;Not available
30;Cova da Piedade, Almada;300.000;Apartment;2;1;69;81;0;4;Elevator;Energy Performance Certificate
31;Areeiro, Lisboa;580.000;Apartment;2;1;90;100;6;1;Not available;Not available
32;Vialonga, Lisboa;125.000;Apartment;3;1;73;73;Not available;Not available;Not available;Not available
33;Massamá e Monte Abraão, Lisboa;525.000;Duplex;5;3;212;310;2;Not available;Not available;Not available
34;Alfena, Porto;185.000;Apartment;2;2;95;95;1;0;Not available;Not available
35;Águas Santas, Porto;210.000;Apartment;2;1;97;105;1;2;Elevator;Energy Performance Certificate
36;Amora, Setúbal;178.000;Apartment;2;1;68;69;Not available;Not available;Not available;Not available
37;Matosinhos e Leça da Palmeira, Porto;210.000;Apartment;0;1;38;93;1;3;Elevator;Energy Performance Certificate
38;São Domingos, Santarém;300.000;Apartment;3;3;241;241;2;Not available;Not available;Not available
39;Seixal, Arrentela e Aldeia de Paio Pires, Setúbal;199.000;Apartment;3;Not available;Not available;Not available;Not available;Not available;Not available;Not available
40;Matosinhos e Leça da Palmeira, Porto;198.000;Apartment;1;1;47;47;Not available;Not available;Not available;Not available
41;Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória, Porto;160.000;Apartment;0;1;Not available;Not available;Not available;Not available;Not available;Not available
42;Oliveira do Douro, Porto;289.000;Apartment;3;2;113;148;Not available;Not available;Not available;Not available
43;Montijo e Afonsoeiro, Setúbal;200.000;Apartment;3;1;76;92;Not available;Not available;Not available;Not available
44;Mina de Água, Lisboa;175.000;Apartment;1;1;47;54;Not available;Not available;Not available;Not available
45;Caldas da Rainha, Caldas da Rainha;430.000;Apartment;3;2;115;176;2;2;Elevator;Energy Performance Certificate
46;Algés, Oeiras;Under Consultation;Apartment;4;4;142;182;2;8;Not available;Not available
47;S.Cosme, Gondomar;172.000;Apartment;2;2;93;103;1;4;Elevator;Energy Performance Certificate
48;Baguim do Monte - Igreja, Gondomar;175.000;Apartment;2;1;77;96;1;3;Elevator;Energy Performance Certificate
49;Torre da Marinha, Seixal;165.000;Apartment;2;1;81;102;Not available;Not available;Not available;Not available
50;Damaia de Cima, Amadora;200.000;Apartment;2;2;65;75;Not available;Not available;Not available;Not available
51;Matosinhos Sul, Matosinhos;295.000;Apartment;1;1;46;Not available;Not available;Not available;Not available;Not available
52;Gueifães, Maia, Maia;257.000;Apartment;2;2;107;Not available;Not available;Not available;Not available;Not available
53;Arnoso (Santa Maria e Santa Eulália) e Sezures, Braga;145.000;Apartment;2;2;96;96;2;1;Not available;Not available
54;Santo Tirso, Santo Tirso;495.000;Apartment;4;4;231;231;2;5;Not available;Not available
55;Estrela, Lisboa;599.000;Apartment;1;2;134;134;Not available;Not available;Not available;Not available
56;PER2 - Carvalhos, Vila Nova de Gaia;155.000;Apartment;1;1;40;60;1;1;Not available;Not available
57;Tavira (Santa Maria e Santiago), Faro;290.000;Apartment;2;2;75;83;Not available;Not available;Not available;Not available
